"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","pop_size_str","pop_size_factor","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y"
362,60,62,1.6493093,1.7274775,0.156234419397761,0.0909447485656355,0.999927705083846,1,1.464102,1.610508,0.146406,0.001,10,1,"10","10",4,5,1.464102,1.610508,1.6493093,1.7274775,0.156234419397761,0.0909447485656355,FALSE,"","p=1",4.5,4.9,4.1,0.95,0.91
363,60,56,1.6493093,1.5169451,0.156234419397761,0.176865376804255,8.04410869529277e-08,4.82646521717566e-07,1.464102,1.330998,-0.133104,0.001,10,1,"10","10",4,3,1.464102,1.330998,1.6493093,1.5169451,0.156234419397761,0.176865376804255,TRUE,"***","p < 0.001",3.5,3.1,3.9,0.95,0.91
373,62,63,1.7274775,1.7350908,0.0909447485656355,0.0792956592068601,0.669359688850893,1,1.610508,1.77156,0.161052,0.001,10,1,"10","10",5,6,1.610508,1.77156,1.7274775,1.7350908,0.0909447485656355,0.0792956592068601,FALSE,"","p=1",5.5,5.9,5.1,0.95,0.91
374,62,60,1.7274775,1.6493093,0.0909447485656355,0.156234419397761,7.31561675364743e-05,0.000438937005218846,1.610508,1.464102,-0.146406,0.001,10,1,"10","10",5,4,1.610508,1.464102,1.7274775,1.6493093,0.0909447485656355,0.156234419397761,TRUE,"***","p < 0.001",4.5,4.1,4.9,0.95,0.91
379,63,62,1.7350908,1.7274775,0.0792956592068601,0.0909447485656355,0.331891624997138,1,1.77156,1.610508,-0.161052,0.001,10,1,"10","10",6,5,1.77156,1.610508,1.7350908,1.7274775,0.0792956592068601,0.0909447485656355,FALSE,"","p=1",5.5,5.1,5.9,0.95,0.91
6,0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996,0.001,100,2,"100","100",0,1,1.000002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.9,0.86
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,0.001,100,2,"100","100",1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.9,0.86
198,32,0,1.77156,1.77156,0,0,1,1,1.099998,1.000002,-0.099996,0.001,100,2,"100","100",1,0,1.099998,1.000002,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.9,0.86
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,0.001,100,2,"100","100",2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.9,0.86
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,0.001,100,2,"100","100",2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.9,0.86
339,56,60,1.77156,1.77156,0,0,1,1,1.330998,1.464102,0.133104,0.001,100,2,"100","100",3,4,1.330998,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.9,0.86
340,56,48,1.77156,1.77156,0,0,1,1,1.330998,1.210002,-0.120996,0.001,100,2,"100","100",3,2,1.330998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.9,0.86
362,60,62,1.77156,1.77156,0,0,1,1,1.464102,1.610508,0.146406,0.001,100,2,"100","100",4,5,1.464102,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.9,4.1,0.9,0.86
363,60,56,1.77156,1.77156,0,0,1,1,1.464102,1.330998,-0.133104,0.001,100,2,"100","100",4,3,1.464102,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.9,0.86
373,62,63,1.77156,1.77156,0,0,1,1,1.610508,1.77156,0.161052,0.001,100,2,"100","100",5,6,1.610508,1.77156,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.9,5.1,0.9,0.86
374,62,60,1.77156,1.77156,0,0,1,1,1.610508,1.464102,-0.146406,0.001,100,2,"100","100",5,4,1.610508,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.1,4.9,0.9,0.86
379,63,62,1.77156,1.77156,0,0,1,1,1.77156,1.610508,-0.161052,0.001,100,2,"100","100",6,5,1.77156,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.1,5.9,0.9,0.86
6,0,32,1.77156,1.77156,0,0,1,1,1.000002,1.099998,0.099996,0.001,10000,4,"10000","10000",0,1,1.000002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.9,0.1,0.8,0.76
197,32,48,1.77156,1.77156,0,0,1,1,1.099998,1.210002,0.110004,0.001,10000,4,"10000","10000",1,2,1.099998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.9,1.1,0.8,0.76
198,32,0,1.77156,1.77156,0,0,1,1,1.099998,1.000002,-0.099996,0.001,10000,4,"10000","10000",1,0,1.099998,1.000002,1.77156,1.77156,0,0,FALSE,"","p=1",0.5,0.1,0.9,0.8,0.76
292,48,56,1.77156,1.77156,0,0,1,1,1.210002,1.330998,0.120996,0.001,10000,4,"10000","10000",2,3,1.210002,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.9,2.1,0.8,0.76
293,48,32,1.77156,1.77156,0,0,1,1,1.210002,1.099998,-0.110004,0.001,10000,4,"10000","10000",2,1,1.210002,1.099998,1.77156,1.77156,0,0,FALSE,"","p=1",1.5,1.1,1.9,0.8,0.76
339,56,60,1.77156,1.77156,0,0,1,1,1.330998,1.464102,0.133104,0.001,10000,4,"10000","10000",3,4,1.330998,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.9,3.1,0.8,0.76
340,56,48,1.77156,1.77156,0,0,1,1,1.330998,1.210002,-0.120996,0.001,10000,4,"10000","10000",3,2,1.330998,1.210002,1.77156,1.77156,0,0,FALSE,"","p=1",2.5,2.1,2.9,0.8,0.76
362,60,62,1.77156,1.77156,0,0,1,1,1.464102,1.610508,0.146406,0.001,10000,4,"10000","10000",4,5,1.464102,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.9,4.1,0.8,0.76
363,60,56,1.77156,1.77156,0,0,1,1,1.464102,1.330998,-0.133104,0.001,10000,4,"10000","10000",4,3,1.464102,1.330998,1.77156,1.77156,0,0,FALSE,"","p=1",3.5,3.1,3.9,0.8,0.76
373,62,63,1.77156,1.77156,0,0,1,1,1.610508,1.77156,0.161052,0.001,10000,4,"10000","10000",5,6,1.610508,1.77156,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.9,5.1,0.8,0.76
374,62,60,1.77156,1.77156,0,0,1,1,1.610508,1.464102,-0.146406,0.001,10000,4,"10000","10000",5,4,1.610508,1.464102,1.77156,1.77156,0,0,FALSE,"","p=1",4.5,4.1,4.9,0.8,0.76
379,63,62,1.77156,1.77156,0,0,1,1,1.77156,1.610508,-0.161052,0.001,10000,4,"10000","10000",6,5,1.77156,1.610508,1.77156,1.77156,0,0,FALSE,"","p=1",5.5,5.1,5.9,0.8,0.76
