"genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff","k","exp_num"
11,10,5.34042,5.34042,0,0,1,1,3.8813437,4.4994457,0.5,0.0952380952380952,0.333333333333333,0.3125,0.618101999999999,0,0
11,9,5.34042,5.34042,0,0,1,1,3.8813437,3.1391737,0.5,0.0952380952380952,0.333333333333333,0.25,-0.74217,0,0
11,15,5.34042,5.34042,0,0,1,1,3.8813437,3.1633827,0.5,0.0952380952380952,0.666666666666667,0.0625,-0.717961,0,0
11,3,5.34042,5.34042,0,0,1,1,3.8813437,3.0190277,0.5,0.0952380952380952,0.333333333333333,0.0625,-0.862316,0,0
11,27,5.34042,5.34042,0,0,1,1,3.8813437,3.9993557,0.5,0.0952380952380952,0.666666666666667,0.1875,0.118012,0,0
11,43,5.34042,5.34042,0,0,1,1,3.8813437,4.604306,0.5,0.0952380952380952,0.666666666666667,0.4375,0.7229623,0,0
12,13,5.34042,5.34042,0,0,1,1,3.0393147,2.4212127,0.333333333333333,0.375,0.5,0.142857142857143,-0.618102,0,0
12,14,5.34042,5.34042,0,0,1,1,3.0393147,3.7814847,0.333333333333333,0.375,0.5,0.19047619047619,0.74217,0,0
12,8,5.34042,5.34042,0,0,1,1,3.0393147,3.7572757,0.333333333333333,0.375,0.166666666666667,0.571428571428571,0.717961,0,0
12,4,5.34042,5.34042,0,0,1,1,3.0393147,2.1769987,0.333333333333333,0.375,0.166666666666667,0.428571428571429,-0.862316,0,0
12,28,5.34042,5.34042,0,0,1,1,3.0393147,3.1573267,0.333333333333333,0.375,0.5,0.476190476190476,0.118012,0,0
12,44,5.34042,5.34042,0,0,1,1,3.0393147,3.762277,0.333333333333333,0.375,0.5,0.761904761904762,0.7229623,0,0
13,12,5.34042,5.34042,0,0,1,1,2.4212127,3.0393147,0.5,0.142857142857143,0.333333333333333,0.375,0.618102,0,0
13,15,5.34042,5.34042,0,0,1,1,2.4212127,3.1633827,0.5,0.142857142857143,0.666666666666667,0.0625,0.74217,0,0
13,9,5.34042,5.34042,0,0,1,1,2.4212127,3.1391737,0.5,0.142857142857143,0.333333333333333,0.25,0.717961,0,0
13,5,5.34042,5.34042,0,0,1,1,2.4212127,1.5588967,0.5,0.142857142857143,0.333333333333333,0.125,-0.862316,0,0
13,29,5.34042,5.34042,0,0,1,1,2.4212127,2.5392247,0.5,0.142857142857143,0.666666666666667,0.25,0.118012,0,0
13,45,5.34042,5.34042,0,0,1,1,2.4212127,3.144175,0.5,0.142857142857143,0.666666666666667,0.5,0.7229623,0,0
14,15,5.34042,5.34042,0,0,1,1,3.7814847,3.1633827,0.5,0.19047619047619,0.666666666666667,0.0625,-0.618102,0,0
14,12,5.34042,5.34042,0,0,1,1,3.7814847,3.0393147,0.5,0.19047619047619,0.333333333333333,0.375,-0.74217,0,0
14,10,5.34042,5.34042,0,0,1,1,3.7814847,4.4994457,0.5,0.19047619047619,0.333333333333333,0.3125,0.717961,0,0
14,6,5.34042,5.34042,0,0,1,1,3.7814847,2.9191687,0.5,0.19047619047619,0.333333333333333,0.1875,-0.862316,0,0
14,30,5.34042,5.34042,0,0,1,1,3.7814847,3.8994967,0.5,0.19047619047619,0.666666666666667,0.3125,0.118012,0,0
14,46,5.34042,5.34042,0,0,1,1,3.7814847,4.504447,0.5,0.19047619047619,0.666666666666667,0.5625,0.7229623,0,0
15,14,5.34042,5.34042,0,0,1,1,3.1633827,3.7814847,0.666666666666667,0.0625,0.5,0.19047619047619,0.618102,0,0
15,13,5.34042,5.34042,0,0,1,1,3.1633827,2.4212127,0.666666666666667,0.0625,0.5,0.142857142857143,-0.74217,0,0
15,11,5.34042,5.34042,0,0,1,1,3.1633827,3.8813437,0.666666666666667,0.0625,0.5,0.0952380952380952,0.717961,0,0
15,7,5.34042,5.34042,0,0,1,1,3.1633827,2.3010667,0.666666666666667,0.0625,0.5,0.0476190476190476,-0.862316,0,0
15,31,5.34042,5.34042,0,0,1,1,3.1633827,3.2813947,0.666666666666667,0.0625,0.833333333333333,0.142857142857143,0.118012,0,0
15,47,5.34042,5.34042,0,0,1,1,3.1633827,3.886345,0.666666666666667,0.0625,0.833333333333333,0.285714285714286,0.7229623,0,0
16,17,5.34042,5.34042,0,0,1,1,3.0129717,2.3948697,0.166666666666667,0.714285714285714,0.333333333333333,0.4375,-0.618102,0,0
16,18,5.34042,5.34042,0,0,1,1,3.0129717,3.7551417,0.166666666666667,0.714285714285714,0.333333333333333,0.5,0.742170000000001,0,0
16,20,5.34042,5.34042,0,0,1,1,3.0129717,2.2950107,0.166666666666667,0.714285714285714,0.333333333333333,0.5625,-0.717961,0,0
16,24,5.34042,5.34042,0,0,1,1,3.0129717,3.8752877,0.166666666666667,0.714285714285714,0.333333333333333,0.625,0.862316,0,0
16,0,5.34042,5.34042,0,0,1,1,3.0129717,2.8949597,0.166666666666667,0.714285714285714,0,0.5,-0.118012,0,0
16,48,5.34042,5.34042,0,0,1,1,3.0129717,3.735934,0.166666666666667,0.714285714285714,0.333333333333333,0.9375,0.7229623,0,0
17,16,5.34042,5.34042,0,0,1,1,2.3948697,3.0129717,0.333333333333333,0.4375,0.166666666666667,0.714285714285714,0.618102,0,0
17,19,5.34042,5.34042,0,0,1,1,2.3948697,3.1370397,0.333333333333333,0.4375,0.5,0.238095238095238,0.74217,0,0
17,21,5.34042,5.34042,0,0,1,1,2.3948697,1.6769087,0.333333333333333,0.4375,0.5,0.285714285714286,-0.717961,0,0
17,25,5.34042,5.34042,0,0,1,1,2.3948697,3.2571857,0.333333333333333,0.4375,0.5,0.380952380952381,0.862316,0,0
17,1,5.34042,5.34042,0,0,1,1,2.3948697,2.2768577,0.333333333333333,0.4375,0.166666666666667,0.142857142857143,-0.118012,0,0
17,49,5.34042,5.34042,0,0,1,1,2.3948697,3.117832,0.333333333333333,0.4375,0.5,0.80952380952381,0.7229623,0,0
18,19,5.34042,5.34042,0,0,1,1,3.7551417,3.1370397,0.333333333333333,0.5,0.5,0.238095238095238,-0.618102,0,0
18,16,5.34042,5.34042,0,0,1,1,3.7551417,3.0129717,0.333333333333333,0.5,0.166666666666667,0.714285714285714,-0.742170000000001,0,0
18,22,5.34042,5.34042,0,0,1,1,3.7551417,3.0371807,0.333333333333333,0.5,0.5,0.333333333333333,-0.717961000000001,0,0
18,26,5.34042,5.34042,0,0,1,1,3.7551417,4.6174577,0.333333333333333,0.5,0.5,0.428571428571429,0.862315999999999,0,0
18,2,5.34042,5.34042,0,0,1,1,3.7551417,3.6371297,0.333333333333333,0.5,0.166666666666667,0.285714285714286,-0.118012,0,0
18,50,5.34042,5.34042,0,0,1,1,3.7551417,4.478104,0.333333333333333,0.5,0.5,0.857142857142857,0.722962299999999,0,0
19,18,5.34042,5.34042,0,0,1,1,3.1370397,3.7551417,0.5,0.238095238095238,0.333333333333333,0.5,0.618102,0,0
19,17,5.34042,5.34042,0,0,1,1,3.1370397,2.3948697,0.5,0.238095238095238,0.333333333333333,0.4375,-0.74217,0,0
19,23,5.34042,5.34042,0,0,1,1,3.1370397,2.4190787,0.5,0.238095238095238,0.666666666666667,0.125,-0.717961,0,0
19,27,5.34042,5.34042,0,0,1,1,3.1370397,3.9993557,0.5,0.238095238095238,0.666666666666667,0.1875,0.862316,0,0
19,3,5.34042,5.34042,0,0,1,1,3.1370397,3.0190277,0.5,0.238095238095238,0.333333333333333,0.0625,-0.118012,0,0
19,51,5.34042,5.34042,0,0,1,1,3.1370397,3.860002,0.5,0.238095238095238,0.666666666666667,0.625,0.7229623,0,0
20,21,5.34042,5.34042,0,0,1,1,2.2950107,1.6769087,0.333333333333333,0.5625,0.5,0.285714285714286,-0.618102,0,0
20,22,5.34042,5.34042,0,0,1,1,2.2950107,3.0371807,0.333333333333333,0.5625,0.5,0.333333333333333,0.74217,0,0
20,16,5.34042,5.34042,0,0,1,1,2.2950107,3.0129717,0.333333333333333,0.5625,0.166666666666667,0.714285714285714,0.717961,0,0
20,28,5.34042,5.34042,0,0,1,1,2.2950107,3.1573267,0.333333333333333,0.5625,0.5,0.476190476190476,0.862316,0,0
20,4,5.34042,5.34042,0,0,1,1,2.2950107,2.1769987,0.333333333333333,0.5625,0.166666666666667,0.428571428571429,-0.118012,0,0
20,52,5.34042,5.34042,0,0,1,1,2.2950107,3.017973,0.333333333333333,0.5625,0.5,0.904761904761905,0.7229623,0,0
21,20,5.34042,5.34042,0,0,1,1,1.6769087,2.2950107,0.5,0.285714285714286,0.333333333333333,0.5625,0.618102,0,0
21,23,5.34042,5.34042,0,0,1,1,1.6769087,2.4190787,0.5,0.285714285714286,0.666666666666667,0.125,0.74217,0,0
21,17,5.34042,5.34042,0,0,1,1,1.6769087,2.3948697,0.5,0.285714285714286,0.333333333333333,0.4375,0.717961,0,0
21,29,5.34042,5.34042,0,0,1,1,1.6769087,2.5392247,0.5,0.285714285714286,0.666666666666667,0.25,0.862316000000001,0,0
21,5,5.34042,5.34042,0,0,1,1,1.6769087,1.5588967,0.5,0.285714285714286,0.333333333333333,0.125,-0.118012,0,0
21,53,5.34042,5.34042,0,0,1,1,1.6769087,2.399871,0.5,0.285714285714286,0.666666666666667,0.6875,0.7229623,0,0
22,23,5.34042,5.34042,0,0,1,1,3.0371807,2.4190787,0.5,0.333333333333333,0.666666666666667,0.125,-0.618101999999999,0,0
22,20,5.34042,5.34042,0,0,1,1,3.0371807,2.2950107,0.5,0.333333333333333,0.333333333333333,0.5625,-0.74217,0,0
22,18,5.34042,5.34042,0,0,1,1,3.0371807,3.7551417,0.5,0.333333333333333,0.333333333333333,0.5,0.717961000000001,0,0
22,30,5.34042,5.34042,0,0,1,1,3.0371807,3.8994967,0.5,0.333333333333333,0.666666666666667,0.3125,0.862316,0,0
22,6,5.34042,5.34042,0,0,1,1,3.0371807,2.9191687,0.5,0.333333333333333,0.333333333333333,0.1875,-0.118012,0,0
