rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness
003,57,2,,0.994,1,1
003,58,2,,0.993,1,1
003,59,2,,0.995,1,1
003,60,2,,0.998,1,1
003,61,2,,0.999,1,1
003,62,2,,0.999,1,1
003,63,2,,0.999,1,1
003,64,2,,1.75939,1.77156,1.77156
003,65,2,,0.994,1,1
003,66,2,,0.998,1,1
003,67,2,,0.993,1,1
003,68,2,,0.999,1,1
003,69,2,,0.995,1,1
003,70,2,,0.994,1,1
003,71,2,,0.998,1,1
003,72,2,,1.76393,1.77156,1.77156
003,73,2,,0.995,1,1
003,74,2,,0.998,1,1
003,75,2,,0.996,1,1
003,76,2,,0.997,1,1
003,77,2,,0.996,1,1
003,78,2,,0.997,1,1
003,79,2,,0.995,1,1
003,80,2,,0.998,1,1
003,81,2,,0.997,1,1
003,82,2,,0.996,1,1
003,83,2,,0.997,1,1
003,84,2,,0.996772,1.77156,1
003,85,2,,0.994,1,1
003,86,2,,0.995,1,1
003,87,2,,0.998,1,1
003,88,2,,0.997,1,1
003,89,2,,0.995,1,1
003,90,2,,0.995,1,1
003,91,2,,0.996,1,1
003,92,2,,1.75485,1.77156,1.77156
003,93,2,,0.995,1,1
003,94,2,,0.999,1,1
003,95,2,,0.995,1,1
003,96,2,,0.996,1,1
003,97,2,,0.996,1,1
003,98,2,,0.996,1,1
003,99,2,,0.997,1,1
003,100,2,,0.995,1,1
004,1,3,,0.999,1,1
004,2,3,,0.997,1,1
004,3,3,,0.996,1,1
004,4,3,,0.997,1,1
004,5,3,,0.995,1,1
004,6,3,,0.997,1,1
004,7,3,,0.994,1,1
004,8,3,,0.999,1,1
004,9,3,,0.997,1,1
004,10,3,,0.994,1,1
004,11,3,,0.99,1,1
004,12,3,,0.999,1,1
004,13,3,,0.999,1,1
004,14,3,,0.996,1,1
004,15,3,,0.996,1,1
004,16,3,,0.99,1,1
004,17,3,,0.995,1,1
004,18,3,,0.997,1,1
004,19,3,,0.996,1,1
004,20,3,,0.996,1,1
004,21,3,,0.997,1,1
004,22,3,,0.995,1,1
004,23,3,,0.997,1,1
004,24,3,,0.997,1,1
004,25,3,,0.994,1,1
004,26,3,,0.998,1,1
004,27,3,,0.996,1,1
004,28,3,,0.995,1,1
004,29,3,,0.997,1,1
004,30,3,,0.997,1,1
004,31,3,,0.996,1,1
004,32,3,,0.993,1,1
004,33,3,,0.998,1,1
004,34,3,,0.995,1,1
004,35,3,,0.995,1,1
004,36,3,,0.996,1,1
004,37,3,,0.995,1,1
004,38,3,,0.99,1,1
004,39,3,,0.997,1,1
004,40,3,,0.996,1,1
004,41,3,,0.996,1,1
004,42,3,,0.992,1,1
004,43,3,,0.995,1,1
004,44,3,,0.995,1,1
004,45,3,,0.995,1,1
004,46,3,,0.995,1,1
004,47,3,,0.996,1,1
004,48,3,,0.991,1,1
004,49,3,,0.996,1,1
004,50,3,,0.997,1,1
004,51,3,,0.994,1,1
004,52,3,,0.996,1,1
004,53,3,,0.996,1,1
004,54,3,,0.995,1,1
004,55,3,,0.999,1,1
004,56,3,,0.994,1,1
004,57,3,,0.989,1,1
004,58,3,,0.991,1,1
004,59,3,,0.996,1,1
004,60,3,,0.993,1,1
004,61,3,,0.998,1,1
004,62,3,,0.991,1,1
004,63,3,,0.997,1,1
004,64,3,,0.996,1,1
004,65,3,,0.991,1,1
004,66,3,,0.996,1,1
004,67,3,,0.992,1,1
004,68,3,,0.993,1,1
004,69,3,,0.996,1,1
004,70,3,,0.996,1,1
004,71,3,,0.996,1,1
004,72,3,,0.992,1,1
004,73,3,,0.996,1,1
004,74,3,,0.998,1,1
