"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3","frac_4","frac_5"
"24",NA,23,1.335059,0.0106776681,1.1,1.4641,100,1.210002,0.666666666666667,0.125,0.05,0.19,0.47,0.29,0
"25",NA,24,1.260746,0.0155367909939394,1,1.4641,100,1.000002,0.333333333333333,0.625,0.17,0.35,0.29,0.16,0.03
"26",NA,25,1.326347,0.0110539942333333,1.1,1.4641,100,1.099998,0.5,0.380952380952381,0.05,0.24,0.44,0.27,0
"27",NA,26,1.312697,0.0143912675666667,1,1.4641,100,1.099998,0.5,0.428571428571429,0.1,0.23,0.39,0.27,0.01
"28",NA,27,1.332804,0.0144714171555555,1.1,1.4641,100,1.210002,0.666666666666667,0.1875,0.12,0.13,0.41,0.34,0
"29",NA,28,1.316769,0.0150882177161616,1,1.4641,100,1.099998,0.5,0.476190476190476,0.06,0.24,0.38,0.29,0.03
"30",NA,29,1.343508,0.0127670219555556,1,1.4641,100,1.210002,0.666666666666667,0.25,0.03,0.23,0.35,0.38,0.01
"31",NA,30,1.319197,0.0120657009,1.1,1.4641,100,1.210002,0.666666666666667,0.3125,0.06,0.28,0.39,0.27,0
"32",NA,31,1.335049,0.0106110934333333,1,1.4641,100,1.330998,0.833333333333333,0.142857142857143,0.02,0.22,0.46,0.29,0.01
"33",NA,32,1.240253,0.0147105669606061,1,1.4641,100,1.099998,0.166666666666667,0.857142857142857,0.21,0.41,0.22,0.13,0.03
"34",NA,33,1.278674,0.0184341476,1,1.4641,100,1.000002,0.333333333333333,0.6875,0.23,0.23,0.29,0.24,0.01
"35",NA,34,1.279278,0.0138752772888889,1.1,1.4641,100,1.000002,0.333333333333333,0.75,0.16,0.32,0.34,0.18,0
"36",NA,35,1.305117,0.0142772777888889,1.1,1.4641,100,1.099998,0.5,0.523809523809524,0.1,0.32,0.31,0.27,0
"37",NA,36,1.273736,0.0149201938424242,1,1.4641,100,1.000002,0.333333333333333,0.8125,0.17,0.27,0.38,0.16,0.02
"38",NA,37,1.312939,0.0150538254333333,1,1.4641,100,1.099998,0.5,0.571428571428571,0.1,0.25,0.35,0.29,0.01
"39",NA,38,1.29282,0.0140652622222222,1,1.4641,100,1.099998,0.5,0.619047619047619,0.13,0.26,0.4,0.2,0.01
"40",NA,39,1.342903,0.0111477675666667,1,1.4641,100,1.210002,0.666666666666667,0.375,0.03,0.18,0.45,0.33,0.01
"41",NA,40,1.279192,0.0166475306424242,1,1.4641,100,1.000002,0.333333333333333,0.875,0.16,0.31,0.29,0.22,0.02
"42",NA,41,1.309573,0.0127678929,1,1.4641,100,1.099998,0.5,0.666666666666667,0.08,0.25,0.43,0.23,0.01
"43",NA,42,1.347325,0.0158640291666667,1,1.4641,100,1.099998,0.5,0.714285714285714,0.08,0.18,0.28,0.45,0.01
"44",NA,43,1.329076,0.0113557442666667,1,1.4641,100,1.210002,0.666666666666667,0.4375,0.06,0.16,0.51,0.26,0.01
"45",NA,44,1.313796,0.0140226171555555,1.1,1.4641,100,1.099998,0.5,0.761904761904762,0.13,0.18,0.43,0.26,0
"46",NA,45,1.317966,0.0120324378222222,1,1.4641,100,1.210002,0.666666666666667,0.5,0.04,0.29,0.4,0.26,0.01
"47",NA,46,1.338535,0.0130318558333333,1.1,1.4641,100,1.210002,0.666666666666667,0.5625,0.08,0.17,0.4,0.35,0
"48",NA,47,1.353473,0.0087867329,1.1,1.4641,100,1.330998,0.833333333333333,0.285714285714286,0.03,0.12,0.52,0.33,0
"49",NA,48,1.281084,0.0183206053979798,1,1.4641,100,1.000002,0.333333333333333,0.9375,0.2,0.24,0.3,0.24,0.02
"50",NA,49,1.307153,0.0129530009,1,1.4641,100,1.099998,0.5,0.80952380952381,0.08,0.27,0.41,0.23,0.01
"51",NA,50,1.31867,0.0138442566666667,1,1.4641,100,1.099998,0.5,0.857142857142857,0.06,0.29,0.34,0.3,0.01
"52",NA,51,1.338216,0.0123905544888889,1.1,1.4641,100,1.210002,0.666666666666667,0.625,0.04,0.26,0.34,0.36,0
"53",NA,52,1.308946,0.0143551916,1,1.4641,100,1.099998,0.5,0.904761904761905,0.1,0.25,0.38,0.26,0.01
"54",NA,53,1.344476,0.0119400576,1,1.4641,100,1.210002,0.666666666666667,0.6875,0.03,0.2,0.4,0.36,0.01
"55",NA,54,1.335664,0.0123065096,1.1,1.4641,100,1.210002,0.666666666666667,0.75,0.05,0.24,0.37,0.34,0
"56",NA,55,1.35575,0.0113045166666667,1.1,1.4641,100,1.330998,0.833333333333333,0.428571428571429,0.05,0.14,0.41,0.4,0
"57",NA,56,1.320442,0.0150540139757576,1,1.4641,100,1.099998,0.5,0.952380952380952,0.06,0.27,0.33,0.32,0.02
"58",NA,57,1.35223,0.01215489,1.1,1.4641,100,1.210002,0.666666666666667,0.8125,0.06,0.15,0.39,0.4,0
"59",NA,58,1.32946,0.01248786,1.1,1.4641,100,1.210002,0.666666666666667,0.875,0.08,0.19,0.43,0.3,0
"60",NA,59,1.356267,0.00942033778888889,1.1,1.4641,100,1.330998,0.833333333333333,0.571428571428571,0.02,0.16,0.45,0.37,0
"61",NA,60,1.361217,0.0122108177888889,1.1,1.4641,100,1.210002,0.666666666666667,0.9375,0.03,0.21,0.29,0.47,0
"62",NA,61,1.349337,0.0113425657888889,1.1,1.4641,100,1.330998,0.833333333333333,0.714285714285714,0.05,0.16,0.42,0.37,0
"63",NA,62,1.347786,0.0107322018222222,1.1,1.4641,100,1.330998,0.833333333333333,0.857142857142857,0.03,0.2,0.41,0.36,0
"64",NA,63,1.383382,0.00884724573333333,1.1,1.4641,100,1.464102,1,0.5,0.01,0.12,0.35,0.52,0
